CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.833;0.678;0.710;0.016;47;0.932;0.758;0.795;0.016;42
SVM_RBF[5.0];1.000;1.000;1.000;0.016;47;1.000;1.000;1.000;0.016;47
HoeffdingTree;0.048;0.112;0.043;0.016;47;0.118;0.276;0.107;0.015;19
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.016;47;1.000;1.000;1.000;0.016;47
REPTree;0.878;0.747;0.787;0.016;47;0.938;0.798;0.841;0.016;44
RandomForest;1.000;1.000;1.000;0.016;47;1.000;1.000;1.000;0.016;47
StochasticGradientDescend;0.005;0.042;0.008;0.016;47;0.107;0.983;0.190;0.029;2
RandomCommittee;0.932;0.873;0.887;0.016;47;0.973;0.912;0.926;0.016;45
NaiveBayesUpdateable;0.213;0.042;0.066;0.016;47;0.769;0.153;0.238;0.026;13
SVM_Puk[1.0, 0.1];1.000;1.000;1.000;0.016;47;1.000;1.000;1.000;0.016;47
MultilayerPerceptron[a];1.000;0.928;0.960;0.016;47;1.000;0.928;0.960;0.016;47
J48;0.687;0.531;0.579;0.016;47;0.949;0.734;0.800;0.018;34


VALIDITY RATIO;(F)
min;0.002930
avg;0.015680
max;0.045898

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.716;0.663;0.670;0.016;564;0.931;0.861;0.871;0.016;434

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Loja Virtual;0.883;0.925;0.851;0.028;12;0.883;0.925;0.851;0.028;12
Mobile phone;0.750;0.717;0.731;0.010;12;0.900;0.860;0.878;0.010;10
UPT_RM_MOBILE;0.750;0.600;0.650;0.015;12;1.000;0.800;0.867;0.015;9
Mobile Phone UPT - 18413;0.750;0.661;0.691;0.015;12;0.900;0.793;0.829;0.015;10
SPL_e_commerce;0.546;0.582;0.552;0.028;12;0.819;0.873;0.828;0.028;8
Phone sple;0.773;0.763;0.761;0.027;12;0.927;0.915;0.913;0.027;10
VOD feature model;0.750;0.740;0.745;0.016;12;1.000;0.987;0.993;0.016;9
Final model;0.646;0.625;0.624;0.003;12;0.861;0.833;0.831;0.003;9
Manuel;0.750;0.667;0.700;0.010;12;1.000;0.889;0.933;0.010;9
Minimalistic PC Feature Model;0.583;0.450;0.483;0.005;12;1.000;0.771;0.828;0.005;7
Mobile phone (lenita);0.750;0.650;0.688;0.015;12;1.000;0.867;0.917;0.015;9
anlisis II;0.833;0.744;0.751;0.028;12;1.000;0.893;0.901;0.028;10
E-shop;0.784;0.728;0.722;0.015;12;0.940;0.873;0.866;0.015;10
Telefono;0.563;0.458;0.486;0.008;12;0.964;0.786;0.833;0.008;7
Phone;0.826;0.755;0.762;0.028;24;0.992;0.906;0.915;0.028;20
Xor Example;0.750;0.650;0.690;0.020;12;1.000;0.867;0.920;0.020;9
Xor Example 2;0.864;0.796;0.795;0.036;12;0.943;0.869;0.867;0.036;11
Text Editor;0.646;0.708;0.635;0.003;12;0.862;0.944;0.847;0.003;9
celular;0.650;0.542;0.574;0.012;12;0.975;0.813;0.860;0.012;8
XOR NEW;0.917;0.786;0.816;0.043;12;1.000;0.857;0.890;0.043;11
eshop;0.750;0.717;0.727;0.010;12;0.900;0.860;0.873;0.010;10
E-SHOP;0.550;0.583;0.565;0.008;12;0.943;1.000;0.968;0.008;7
mo;0.846;0.854;0.809;0.030;12;0.922;0.931;0.882;0.030;11
Bandymas;0.833;0.750;0.761;0.019;12;1.000;0.900;0.914;0.019;10
Example Product Line Course Using SPLOT;0.750;0.633;0.671;0.015;12;0.900;0.760;0.806;0.015;10
Disenio;0.583;0.483;0.521;0.005;12;1.000;0.829;0.893;0.005;7
ZMUConcernExample;0.740;0.741;0.721;0.004;12;0.888;0.889;0.865;0.004;10
Feature Tree Example;0.750;0.750;0.750;0.008;12;1.000;1.000;1.000;0.008;9
jjjjj;0.690;0.657;0.657;0.018;12;0.828;0.789;0.788;0.018;10
Example Mobile Phone;0.716;0.594;0.632;0.015;12;0.955;0.793;0.843;0.015;9
Mobile Phone UPT;0.750;0.594;0.645;0.015;12;1.000;0.793;0.861;0.015;9
Basic Car;0.834;0.865;0.808;0.008;12;0.910;0.943;0.881;0.008;11
Test1;0.500;0.500;0.500;0.008;12;0.857;0.857;0.857;0.008;7
acarlos_trab2_mobile;0.722;0.583;0.627;0.015;12;0.962;0.778;0.836;0.015;9
Mobile Phone GF;0.677;0.738;0.701;0.014;12;0.813;0.886;0.841;0.014;10
testISA2012;0.750;0.617;0.665;0.015;12;1.000;0.822;0.887;0.015;9
Sylvain Example;0.606;0.596;0.598;0.004;24;0.909;0.894;0.897;0.004;16
Telefonia Celular;0.709;0.664;0.680;0.036;12;0.851;0.797;0.815;0.036;10
