CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Logistic;0.463;0.399;0.420;0.016;46;0.609;0.525;0.552;0.019;35


VALIDITY RATIO;(F)
min;0.000244
avg;0.016039
max;0.096924

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.463;0.399;0.420;0.016;46;0.609;0.525;0.552;0.019;35

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Doorlopende reisverzekering;1.000;1.000;1.000;0.016;1;1.000;1.000;1.000;0.016;1
This is a test;0.522;0.364;0.429;0.032;1;0.522;0.364;0.429;0.032;1
eLearning ways;0.926;0.761;0.835;0.097;1;0.926;0.761;0.835;0.097;1
CCCMS;1.000;1.000;1.000;0.059;1;1.000;1.000;1.000;0.059;1
WB2;0.659;0.290;0.403;0.049;1;0.659;0.290;0.403;0.049;1
Online Shop Feature Model;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.010;1
MyDental;0.913;1.000;0.955;0.010;1;0.913;1.000;0.955;0.010;1
Dummy Car;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.002;1
Final model;0.250;0.091;0.133;0.003;1;0.250;0.091;0.133;0.003;1
FM with optional XOR;0.917;0.524;0.667;0.005;1;0.917;0.524;0.667;0.005;1
Adams Car;0.000;0.000;0.000;0.007;1;0.000;0.000;0.000;0.000;0
Reservation;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.002;1
tab;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
Congress Assistant;0.000;0.000;0.000;0.012;1;0.000;0.000;0.000;0.012;1
mon model;0.000;0.000;0.000;0.006;1;0.000;0.000;0.000;0.000;0
ABMS;0.869;0.756;0.809;0.060;1;0.869;0.756;0.809;0.060;1
Text Editor;0.400;0.182;0.250;0.003;1;0.400;0.182;0.250;0.003;1
IntelligentTutoringSystem;0.875;0.667;0.757;0.021;1;0.875;0.667;0.757;0.021;1
ID;1.000;1.000;1.000;0.000;1;1.000;1.000;1.000;0.000;1
Ooredoo;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.004;1
Multiplicador de n matrices;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
Telecommunication_System;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
a;0.000;0.000;0.000;0.010;1;0.000;0.000;0.000;0.000;0
Content model;0.725;0.637;0.678;0.022;1;0.725;0.637;0.678;0.022;1
test_fm;1.000;1.000;1.000;0.002;1;1.000;1.000;1.000;0.002;1
search engine;0.000;0.000;0.000;0.008;1;0.000;0.000;0.000;0.000;0
Attempt of mine;0.818;0.848;0.833;0.032;1;0.818;0.848;0.833;0.032;1
Movil;0.500;0.071;0.125;0.007;1;0.500;0.071;0.125;0.007;1
rotation;0.333;0.333;0.333;0.001;1;0.333;0.333;0.333;0.001;1
Address Book;1.000;1.000;1.000;0.018;1;1.000;1.000;1.000;0.018;1
aaaaaa;1.000;1.000;1.000;0.008;1;1.000;1.000;1.000;0.008;1
Topology;0.000;0.000;0.000;0.004;1;0.000;0.000;0.000;0.000;0
FeatureModelName;0.500;0.500;0.500;0.002;1;0.500;0.500;0.500;0.002;1
Sisgeo;1.000;0.996;0.998;0.063;1;1.000;0.996;0.998;0.063;1
gs;0.000;0.000;0.000;0.041;1;0.000;0.000;0.000;0.041;1
HDMR-Paper;0.250;0.143;0.182;0.002;1;0.250;0.143;0.182;0.002;1
TW SPL Hard Choices;1.000;1.000;1.000;0.001;1;1.000;1.000;1.000;0.001;1
Jogo;1.000;1.000;1.000;0.000;1;1.000;1.000;1.000;0.000;1
Sylvain Example;0.250;0.091;0.133;0.003;1;0.250;0.091;0.133;0.003;1
Content;0.585;0.452;0.506;0.017;2;0.585;0.452;0.506;0.017;2
M-learning Requirements Catalog;1.000;0.914;0.955;0.034;1;1.000;0.914;0.955;0.034;1
Pruebas;0.000;0.000;0.000;0.002;1;0.000;0.000;0.000;0.000;0
JCS;0.000;0.000;0.000;0.023;1;0.000;0.000;0.000;0.000;0
E-commerce system1;0.000;0.000;0.000;0.001;1;0.000;0.000;0.000;0.000;0
Eshop-ufrj;0.438;0.292;0.350;0.012;1;0.438;0.292;0.350;0.012;1
