CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Test;0.164;0.133;0.146;0.010;8;0.655;0.531;0.586;0.016;2
mon model;0.188;0.031;0.054;0.006;4;0.750;0.125;0.214;0.006;1
Veículo;0.250;0.125;0.167;0.010;4;1.000;0.500;0.667;0.010;1
Xor Example 2;0.500;0.500;0.500;0.035;4;1.000;1.000;1.000;0.035;2
Cell-Phone-SPL-2014-Mined;0.250;0.145;0.184;0.004;4;1.000;0.581;0.735;0.004;1
XOR NEW;0.500;0.500;0.500;0.043;4;1.000;1.000;1.000;0.043;2
Homepage based on wiki;0.358;0.286;0.317;0.003;4;0.717;0.571;0.635;0.003;2
test_fm;0.500;0.500;0.500;0.002;4;1.000;1.000;1.000;0.002;2
Bandymas;0.455;0.500;0.475;0.018;4;0.909;1.000;0.950;0.018;2
Attempt of mine;0.486;0.500;0.493;0.032;4;0.971;1.000;0.985;0.032;2
smartPhone;0.492;0.495;0.493;0.011;4;0.984;0.989;0.987;0.011;2
Rotation1;0.500;0.500;0.500;0.005;4;1.000;1.000;1.000;0.005;2
Cellphone;0.000;0.000;0.000;0.007;4;0.000;0.000;0.000;0.000;0
Basic Car;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
SPL Studies;0.325;0.193;0.220;0.033;8;0.867;0.515;0.587;0.024;3
testISA2012;0.167;0.143;0.154;0.014;4;0.667;0.571;0.615;0.014;1
Match engine;0.500;0.500;0.500;0.016;4;1.000;1.000;1.000;0.016;2
mobile phone;0.454;0.279;0.340;0.025;4;0.908;0.558;0.681;0.025;2
Video On Demand FM;0.188;0.141;0.161;0.002;4;0.750;0.563;0.643;0.002;1
Assistente de Compras;0.250;0.167;0.200;0.012;4;1.000;0.667;0.800;0.012;1
Mobile Phone;0.302;0.143;0.176;0.014;8;0.806;0.381;0.470;0.014;3
ROOT;0.500;0.500;0.500;0.047;4;1.000;1.000;1.000;0.047;2
UPT_RM_MOBILE;0.354;0.250;0.290;0.014;4;0.708;0.500;0.580;0.014;2
WB2;0.406;0.363;0.372;0.049;4;0.811;0.725;0.745;0.049;2
Dummy Car;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
Stamppy;0.469;0.500;0.483;0.003;4;0.938;1.000;0.967;0.003;2
Adams Car;0.219;0.250;0.233;0.007;4;0.875;1.000;0.933;0.007;1
anlisis II;0.500;0.321;0.390;0.027;4;1.000;0.643;0.780;0.027;2
ESCA Embeeded System;0.000;0.000;0.000;0.005;4;0.000;0.000;0.000;0.000;0
Match de foot;0.500;0.500;0.500;0.008;4;1.000;1.000;1.000;0.008;2
CarExample;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Home;0.425;0.379;0.400;0.015;4;0.851;0.758;0.800;0.015;2
Ooredoo;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
MyHolidays;0.233;0.250;0.241;0.014;4;0.933;1.000;0.966;0.014;1
Parking lot Manager;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
LMF;0.500;0.500;0.500;0.000;4;1.000;1.000;1.000;0.000;2
Priscilinha;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Sample;0.250;0.250;0.250;0.031;4;1.000;1.000;1.000;0.031;1
rotation;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
Sisgeo;0.500;0.498;0.499;0.063;4;1.000;0.996;0.998;0.063;2
gs;0.250;0.071;0.111;0.041;4;1.000;0.286;0.444;0.041;1
HDMR-Paper;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
acarlos_trab2_mobile;0.354;0.250;0.290;0.014;4;0.708;0.500;0.580;0.014;2
Telefonia Celular;0.459;0.340;0.379;0.035;4;0.919;0.681;0.758;0.035;2
Ökonomische Merkmale;0.407;0.500;0.449;0.023;4;0.814;1.000;0.897;0.023;2
E-commerce system1;0.250;0.167;0.200;0.001;4;1.000;0.667;0.800;0.001;1
sasgd;0.500;0.500;0.500;0.020;4;1.000;1.000;1.000;0.020;2
CCCMS;0.500;0.500;0.500;0.059;4;1.000;1.000;1.000;0.059;2
Maquina de Cae;0.500;0.306;0.341;0.035;4;1.000;0.611;0.682;0.035;2
E-shop;0.477;0.483;0.479;0.014;4;0.953;0.966;0.958;0.014;2
UPL;0.469;0.389;0.425;0.009;4;0.938;0.778;0.849;0.009;2
LXEP;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
Xor Example;0.250;0.250;0.250;0.020;4;1.000;1.000;1.000;0.020;1
Implementacion;0.000;0.000;0.000;0.003;4;0.000;0.000;0.000;0.000;0
Windows .NET;0.500;0.500;0.500;0.002;4;1.000;1.000;1.000;0.002;2
ordem;0.500;0.500;0.500;0.027;4;1.000;1.000;1.000;0.027;2
ID;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Observatorio;0.000;0.000;0.000;0.004;4;0.000;0.000;0.000;0.000;0
eshop;0.475;0.472;0.472;0.009;4;0.950;0.944;0.944;0.009;2
E-SHOP;0.250;0.250;0.250;0.008;4;1.000;1.000;1.000;0.008;1
Ligne de produits de Eshop;0.000;0.000;0.000;0.002;4;0.000;0.000;0.000;0.000;0
AvionFEatures;0.329;0.458;0.380;0.012;4;0.657;0.917;0.760;0.012;2
search engine;0.219;0.219;0.219;0.008;4;0.875;0.875;0.875;0.008;1
NovoSiga;0.400;0.200;0.233;0.010;4;0.800;0.400;0.467;0.010;2
CIMS PL;0.000;0.000;0.000;0.001;4;0.000;0.000;0.000;0.000;0
testing;0.498;0.500;0.499;0.125;4;0.996;1.000;0.998;0.125;2
isolation;0.375;0.500;0.429;0.003;4;0.750;1.000;0.857;0.003;2
Online shopping software;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Jogo;0.500;0.500;0.500;0.001;8;1.000;1.000;1.000;0.001;4
desordem;0.483;0.500;0.491;0.027;4;0.967;1.000;0.983;0.027;2
Mobile Phone GF;0.438;0.286;0.345;0.014;4;0.875;0.571;0.689;0.014;2
MK Andes;0.500;0.500;0.500;0.004;4;1.000;1.000;1.000;0.004;2
Computer Selection;0.250;0.250;0.250;0.002;4;1.000;1.000;1.000;0.002;1
HandlingSystem;0.000;0.000;0.000;0.000;4;0.000;0.000;0.000;0.000;0
Modelo;0.250;0.125;0.167;0.004;4;1.000;0.500;0.667;0.004;1
MyFeatureModel;0.432;0.386;0.387;0.017;4;0.865;0.771;0.774;0.017;2
Mobile Game;0.484;0.500;0.492;0.132;4;0.969;1.000;0.984;0.132;2
votacao eletronica;0.438;0.500;0.467;0.007;4;0.875;1.000;0.933;0.007;2
