CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.469;0.397;0.415;0.001;20;0.938;0.793;0.829;0.001;10
SVM_Poly[3,2.0,0.5];1.000;1.000;1.000;0.001;20;1.000;1.000;1.000;0.001;20
REPTree;0.604;0.496;0.529;0.001;20;0.929;0.763;0.814;0.001;13
RandomForest;1.000;1.000;1.000;0.001;20;1.000;1.000;1.000;0.001;20
StochasticGradientDescend;0.002;0.279;0.003;0.001;20;0.005;0.797;0.010;0.001;7
RandomCommittee;0.695;0.542;0.550;0.001;20;0.927;0.722;0.734;0.001;15
NaiveBayesUpdateable;0.187;0.023;0.040;0.001;20;0.935;0.113;0.198;0.002;4
MultilayerPerceptron[a];1.000;0.937;0.961;0.001;20;1.000;0.937;0.961;0.001;20
J48;0.349;0.309;0.316;0.001;20;0.997;0.884;0.902;0.001;7


VALIDITY RATIO;(F)
min;0.000015
avg;0.000711
max;0.003052

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.589;0.554;0.535;0.001;180;0.915;0.859;0.830;0.001;116

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
ISA11/12_pgr;0.444;0.349;0.360;0.000;9;1.000;0.785;0.811;0.000;4
E-Commerce;0.548;0.593;0.559;0.001;9;0.822;0.889;0.839;0.001;6
Urna - Federal;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
Nexus DSPL;0.646;0.519;0.563;0.000;9;0.969;0.778;0.845;0.000;6
FIRE-ALARM;0.612;0.549;0.571;0.000;9;0.918;0.824;0.857;0.000;6
Construtora;0.444;0.346;0.379;0.000;9;1.000;0.778;0.854;0.000;4
Eleição para presidente e dois senadores;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
Game of war cards;0.889;0.905;0.806;0.000;9;0.889;0.905;0.806;0.000;9
Siga;0.537;0.443;0.475;0.000;9;0.967;0.798;0.856;0.000;5
SimulesSPLBruno;0.333;0.333;0.333;0.000;9;1.000;1.000;1.000;0.000;3
WebKit overview;0.444;0.342;0.350;0.000;9;1.000;0.770;0.787;0.000;4
Toko;0.890;0.875;0.788;0.003;9;0.890;0.875;0.788;0.003;9
Test Env;0.434;0.437;0.435;0.000;9;0.976;0.983;0.980;0.000;4
Cruise Control SPL;0.866;0.891;0.796;0.001;9;0.866;0.891;0.796;0.001;9
PawelsTestThermometer;0.389;0.333;0.339;0.000;9;0.875;0.750;0.763;0.000;4
astiag;0.778;0.489;0.532;0.000;9;0.875;0.550;0.598;0.000;8
RST Game;0.432;0.360;0.376;0.003;9;0.971;0.811;0.845;0.003;4
Agencia de Propaganda;0.879;0.894;0.809;0.002;9;0.879;0.894;0.809;0.002;9
Software-Product;0.778;0.873;0.779;0.001;18;0.876;0.982;0.876;0.001;16
