CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LWL;0.500;0.463;0.480;0.019;10;1.000;0.925;0.960;0.035;5
SVM_RBF[2.0];0.900;0.838;0.863;0.019;10;1.000;0.931;0.958;0.021;9
SVM_RBF[5.0];1.000;1.000;1.000;0.019;10;1.000;1.000;1.000;0.019;10
IBk;1.000;1.000;1.000;0.019;10;1.000;1.000;1.000;0.019;10
HoeffdingTree;0.113;0.256;0.044;0.019;10;0.126;0.284;0.049;0.021;9
KStar;0.500;0.463;0.480;0.019;10;1.000;0.925;0.960;0.035;5
SVM_Sigmoid[0.1];0.147;0.035;0.046;0.019;10;0.490;0.116;0.152;0.051;3
SVM_Linear;0.355;0.309;0.327;0.019;10;0.887;0.773;0.819;0.034;4
SVM_Puk[1.0, 0.1];0.900;0.900;0.900;0.019;10;1.000;1.000;1.000;0.021;9


VALIDITY RATIO;(F)
min;0.000122
avg;0.018921
max;0.076172

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.602;0.585;0.571;0.019;90;0.846;0.822;0.803;0.025;64

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Parking lot Manager;0.444;0.403;0.419;0.002;9;0.800;0.725;0.754;0.002;5
RE;0.779;0.889;0.781;0.012;9;0.877;1.000;0.879;0.012;8
G10-music player;0.887;0.769;0.788;0.008;9;0.998;0.865;0.887;0.008;8
Tata Cars;0.444;0.417;0.429;0.003;9;0.800;0.750;0.771;0.003;5
Veículo;0.444;0.444;0.444;0.010;9;0.800;0.800;0.800;0.010;5
CFDP Library;0.842;0.809;0.765;0.058;18;0.842;0.809;0.765;0.058;18
FM1;0.222;0.222;0.222;0.000;9;1.000;1.000;1.000;0.000;2
Aircraft PL;0.667;0.641;0.653;0.038;9;0.750;0.721;0.735;0.038;8
KIModel;0.444;0.444;0.444;0.001;9;0.800;0.800;0.800;0.001;5
