CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
LogisticModelTree;0.342;0.280;0.296;0.004;1397;0.943;0.774;0.816;0.007;506
HoeffdingTree;0.011;0.049;0.007;0.004;1397;0.019;0.080;0.011;0.004;849
SVM_Poly[3,2.0,0.5];0.102;0.087;0.080;0.004;1397;0.138;0.118;0.108;0.004;1033
REPTree;0.436;0.319;0.352;0.004;1397;0.939;0.687;0.758;0.006;649
RandomForest;1.000;1.000;1.000;0.004;1397;1.000;1.000;1.000;0.004;1397
StochasticGradientDescend;0.004;0.023;0.006;0.004;1397;0.131;0.729;0.178;0.016;44
RandomCommittee;0.764;0.685;0.690;0.004;1397;0.933;0.837;0.843;0.004;1144
NaiveBayesUpdateable;0.038;0.007;0.011;0.004;1397;0.787;0.137;0.228;0.021;67
MultilayerPerceptron[a];0.906;0.835;0.863;0.004;1397;1.000;0.922;0.953;0.004;1265
J48;0.171;0.147;0.155;0.004;1397;0.989;0.850;0.894;0.010;242


VALIDITY RATIO;(F)
min;0.000061
avg;0.003614
max;0.042969

GENERATOR;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
Combinatorial[0];0.377;0.343;0.346;0.004;13970;0.733;0.666;0.672;0.005;7196

MODEL;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
MobileMedia_LeonardoVasconcelos;0.300;0.225;0.240;0.001;110;0.673;0.505;0.539;0.001;49
Visit Indonesia Apps;0.445;0.410;0.373;0.010;110;0.635;0.585;0.533;0.010;77
Venza;0.100;0.100;0.100;0.000;110;0.524;0.524;0.524;0.000;21
Web Content Delivery;0.300;0.252;0.256;0.001;110;0.660;0.555;0.562;0.001;50
MobileMedia_Ibraim;0.600;0.583;0.591;0.001;110;0.825;0.802;0.813;0.001;80
pruebapalabras;0.577;0.351;0.414;0.004;110;0.784;0.477;0.562;0.004;81
Alarm System;0.268;0.229;0.239;0.005;110;0.602;0.513;0.537;0.005;49
LXEP;0.220;0.250;0.228;0.002;110;0.735;0.833;0.759;0.002;33
video on demand;0.500;0.375;0.407;0.002;110;0.753;0.565;0.613;0.002;73
Video On Demand SPL FM;0.300;0.300;0.300;0.002;110;0.673;0.673;0.673;0.002;49
Xor Example;0.600;0.480;0.525;0.020;110;0.917;0.733;0.802;0.020;72
Implementacion;0.300;0.214;0.245;0.003;110;0.825;0.589;0.675;0.003;40
ID;0.200;0.200;0.200;0.000;110;0.759;0.759;0.759;0.000;29
Observatorio;0.200;0.200;0.200;0.004;110;0.688;0.688;0.688;0.004;32
KIModel;0.469;0.500;0.481;0.001;110;0.687;0.733;0.705;0.001;75
SD Voter pattern feature model;0.462;0.360;0.396;0.004;110;0.716;0.558;0.614;0.004;71
Disenio;0.300;0.275;0.286;0.004;110;0.868;0.796;0.827;0.004;38
CIMS PL;0.218;0.300;0.230;0.001;110;0.727;1.000;0.768;0.001;33
smart phone;0.333;0.308;0.298;0.004;110;0.621;0.574;0.555;0.004;59
MobileMedia_MarinaMB;0.600;0.583;0.591;0.001;110;0.786;0.764;0.774;0.001;84
Online shopping software;0.161;0.200;0.175;0.000;110;0.570;0.710;0.619;0.000;31
Jogo;0.400;0.400;0.400;0.000;110;0.815;0.815;0.815;0.000;54
Sylvain Example;0.426;0.358;0.378;0.004;220;0.801;0.674;0.710;0.004;117
testmodel1;0.200;0.233;0.200;0.001;110;0.580;0.675;0.580;0.001;38
HandlingSystem;0.200;0.200;0.200;0.000;110;0.733;0.733;0.733;0.000;30
Modelo;0.235;0.225;0.228;0.004;110;0.784;0.750;0.760;0.004;33
PhysEval;0.562;0.570;0.534;0.003;110;0.711;0.721;0.675;0.003;87
Mobile Phone, until relase 5;0.600;0.600;0.600;0.001;110;0.868;0.868;0.868;0.001;76
iNavBasic;0.400;0.400;0.400;0.000;110;0.815;0.815;0.815;0.000;54
MarketPlace-Sample;0.300;0.300;0.300;0.000;110;0.868;0.868;0.868;0.000;38
Mobile Media;0.415;0.342;0.366;0.001;330;0.735;0.606;0.649;0.001;186
Clinica Medica;0.400;0.350;0.367;0.001;110;0.721;0.631;0.661;0.001;61
Transmission;0.300;0.205;0.194;0.001;110;0.612;0.417;0.395;0.001;54
Metadata;0.606;0.758;0.617;0.016;110;0.687;0.859;0.700;0.016;97
FM1;0.200;0.200;0.200;0.000;110;0.733;0.733;0.733;0.000;30
Mobile Media JULIO;0.700;0.600;0.619;0.001;110;0.811;0.695;0.717;0.001;95
Cars xpto;0.389;0.271;0.296;0.002;110;0.702;0.488;0.533;0.002;61
LeSE - Learning Software Engineering;0.200;0.167;0.180;0.001;110;0.759;0.632;0.683;0.001;29
Carro Model;0.259;0.200;0.218;0.002;110;0.570;0.440;0.480;0.002;50
cell phones SPL;0.300;0.281;0.290;0.002;110;0.673;0.631;0.650;0.002;49
SlotsForModules;0.300;0.267;0.280;0.000;110;0.767;0.682;0.716;0.000;43
