CLASSIFIER;PRECISION;RECALL;F-SCORE;VALID_RATIO;COUNT;PRECISION(F);RECALL(F);F-SCORE(F);VALID_RATIO(F);COUNT(F)
XOR NEW;0.700;0.618;0.638;0.043;110;0.975;0.861;0.888;0.043;79
Eleição de um prefeito e um vereador;0.200;0.200;0.200;0.001;110;0.667;0.667;0.667;0.001;33
ACARLOS_car;0.415;0.292;0.325;0.002;110;0.831;0.583;0.651;0.002;55
Mobile media v5;0.200;0.200;0.200;0.000;110;0.759;0.759;0.759;0.000;29
Mobile media v4;0.200;0.200;0.200;0.000;110;0.815;0.815;0.815;0.000;27
Rotation1;0.500;0.460;0.478;0.005;110;0.917;0.843;0.876;0.005;60
TW SPL Hard Choices;0.500;0.500;0.500;0.001;110;0.982;0.982;0.982;0.001;56
Mobile Media v3;0.377;0.350;0.359;0.001;110;0.943;0.875;0.898;0.001;44
drupal sawsen;0.600;0.600;0.600;0.008;110;1.000;1.000;1.000;0.008;66
Urna Gleidson;0.490;0.500;0.494;0.001;110;0.913;0.932;0.921;0.001;59
Basic Car;0.700;0.606;0.612;0.008;110;1.000;0.866;0.874;0.008;77
SPL Studies;0.508;0.236;0.290;0.005;110;0.847;0.393;0.484;0.005;66
Linha de produtos - SimulES e PnP;0.597;0.414;0.461;0.009;110;0.864;0.599;0.667;0.009;76
Video On Demand FM;0.300;0.300;0.300;0.002;110;0.767;0.767;0.767;0.002;43
Pruebas;0.400;0.229;0.280;0.002;110;0.917;0.524;0.642;0.002;48
catalogo;0.311;0.317;0.305;0.000;110;0.714;0.726;0.698;0.000;48
Cell Phone;0.481;0.400;0.423;0.002;110;0.766;0.638;0.675;0.002;69
robot experiment;0.300;0.300;0.300;0.000;110;0.917;0.917;0.917;0.000;36
JPlug;0.660;0.496;0.543;0.005;110;0.908;0.682;0.747;0.005;80
Audio Player;0.393;0.367;0.376;0.000;110;0.816;0.761;0.781;0.000;53
Mobile Phone Software;0.392;0.308;0.338;0.003;110;0.814;0.639;0.701;0.003;53
Analisis;0.323;0.225;0.248;0.001;110;0.771;0.538;0.593;0.001;46
NCV_Simulation;0.291;0.267;0.275;0.002;110;0.800;0.733;0.755;0.002;40
Estudo Experimental 2;0.300;0.300;0.300;0.000;110;0.825;0.825;0.825;0.000;40
matrices;0.200;0.200;0.200;0.001;110;0.710;0.710;0.710;0.001;31
CarExample;0.300;0.200;0.230;0.001;110;1.000;0.667;0.767;0.001;33
Eval_board;0.270;0.250;0.256;0.002;110;0.902;0.833;0.854;0.002;33
Technical Solution Process;0.586;0.500;0.529;0.002;110;0.826;0.705;0.746;0.002;78
Parking lot Manager;0.282;0.225;0.238;0.002;110;0.795;0.635;0.671;0.002;39
LMF;0.300;0.300;0.300;0.000;110;0.825;0.825;0.825;0.000;40
Priscilinha;0.100;0.100;0.100;0.000;110;0.786;0.786;0.786;0.000;14
rotation;0.300;0.300;0.300;0.001;110;0.846;0.846;0.846;0.001;39
collapse_view_example;0.399;0.216;0.238;0.015;110;0.954;0.517;0.569;0.015;46
SHIFT QAs;0.200;0.200;0.200;0.001;110;0.917;0.917;0.917;0.001;24
CTOS MODEL;0.393;0.367;0.376;0.001;110;0.920;0.858;0.880;0.001;47
MoviesApp;0.598;0.369;0.399;0.007;110;0.855;0.526;0.570;0.007;77
markke core asset testing;0.200;0.167;0.180;0.001;110;0.846;0.705;0.762;0.001;26
Flight Reservations;0.499;0.337;0.376;0.004;110;0.931;0.627;0.702;0.004;59
E-commerce system1;0.300;0.267;0.280;0.001;110;0.846;0.752;0.790;0.001;39
Movie System;0.300;0.300;0.300;0.003;110;0.917;0.917;0.917;0.003;36
MobileMedia_Bruno;0.600;0.583;0.591;0.001;110;0.892;0.867;0.878;0.001;74
